"Año";"NIVEL_EDUCATIVO";"GRUPO_EDAD";"TA_Mujeres";"TA_Varones";"TD_Mujeres";"TD_Varones";"TS_Mujeres";"TS_Varones";"TNR_Mujeres";"TNR_Varones"
"19";"2018";"Secundaria";"de 14 a 29 años";52,6;69;22,1;16;13,9;10,5;50,3;41
"20";"2018";"Secundaria";"de 30 a 64 años";68,5;93,9;8,3;4,8;13,5;6,4;31,6;18,4
"21";"2018";"Secundaria";"Total";61,6;83,4;13,4;8,7;13,6;7,8;38,4;26,6
"22";"2018";"SinInst";"de 14 a 29 años";19,5;44,6;21,7;14;22,8;16;86;82,6
"23";"2018";"SinInst";"de 30 a 64 años";40,8;75,6;8,2;8,6;23,7;15;65,1;50,3
"24";"2018";"SinInst";"Total";36,2;66,6;9,7;9,6;23,6;15,2;67;57,8
"25";"2018";"Superior";"de 14 a 29 años";87,8;91,7;10,1;8,2;11,8;10,3;24,8;20,5
"26";"2018";"Superior";"de 30 a 64 años";84,8;95,1;3,4;2,3;8,6;5;11,6;11,9
"27";"2018";"Superior";"Total";85,1;94,7;4,2;2,9;9,1;5,7;13,3;13
"28";"2018";"Total";"de 14 a 29 años";40,4;55,8;21,3;15,6;14,6;11,8;51,4;49,4
"29";"2018";"Total";"de 30 a 64 años";67,2;91,4;7;5,3;13,7;8,3;31,4;24
"30";"2018";"Total";"Total";57,3;77,3;10,7;8,3;13,9;9,3;36,3;31,6
"31";"2019";"Primaria";"de 14 a 29 años";19,6;41,1;28,9;19,6;20,6;16,7;78,1;70,1
"32";"2019";"Primaria";"de 30 a 64 años";55,6;89,3;10,4;8,2;21,2;12,8;57,8;37,9
"33";"2019";"Primaria";"Total";39,5;66,5;14,5;11,6;21,1;13,9;61,6;47,7
"34";"2019";"Secundaria";"de 14 a 29 años";52,3;69,4;22,3;18,1;16,4;11,6;51,3;42,7
"35";"2019";"Secundaria";"de 30 a 64 años";68,3;93,2;8,6;5,3;15,3;8;32,2;20,2
"36";"2019";"Secundaria";"Total";61,6;83,4;13,5;9,7;15,7;9,3;38,9;28
"37";"2019";"SinInst";"de 14 a 29 años";17,9;44,5;29,7;17,8;30,6;20,2;78,3;81,4
"38";"2019";"SinInst";"de 30 a 64 años";42,2;73,1;10,2;11,6;19,3;14,7;67,4;57,8
"39";"2019";"SinInst";"Total";37,5;65;12;12,8;20,4;15,8;68,5;63,5
"40";"2019";"Superior";"de 14 a 29 años";88,9;94,9;11,1;9,7;15,5;8,9;28,9;22,4
"41";"2019";"Superior";"de 30 a 64 años";85,4;95,8;3,5;2,4;9,7;6,3;11,6;11,9
"42";"2019";"Superior";"Total";85,9;95,7;4,5;3,3;10,5;6,6;13,9;13,4
"43";"2019";"Total";"de 14 a 29 años";40,4;55,8;22;18;17,3;13,5;51,9;51,4
"44";"2019";"Total";"de 30 a 64 años";68;91,2;7,3;6;14,9;9,6;31,2;25,2
"45";"2019";"Total";"Total";58;77,3;11;9,4;15,5;10,7;36,1;32,7
"46";"2020";"Primaria";"de 14 a 29 años";16,7;36,5;34,3;24;17;17,1;82,4;63,3
"47";"2020";"Primaria";"de 30 a 64 años";50,4;82,6;13;9,7;20,2;14,3;50,4;33,1
"48";"2020";"Primaria";"Total";35,3;60,7;17,5;13,8;19,6;15,1;54,6;41
"49";"2020";"Secundaria";"de 14 a 29 años";46,2;62,4;25,7;18;15,6;11,6;45,5;43,7
"50";"2020";"Secundaria";"de 30 a 64 años";63,4;89,1;10;6,9;14,5;8,4;27,7;17,6
"51";"2020";"Secundaria";"Total";55,9;78;15,6;10,6;14,9;9,4;33,6;26,2
"52";"2020";"SinInst";"de 14 a 29 años";13,3;45,6;31,7;16,1;26,9;18,3;78,6;80,6
"53";"2020";"SinInst";"de 30 a 64 años";38,9;69,7;11,7;16,6;25;16,8;58,9;40,6
"54";"2020";"SinInst";"Total";33,6;62,1;13,4;16,5;25,2;17,1;60;51,3
"55";"2020";"Superior";"de 14 a 29 años";81,6;85;11,9;12,3;10,1;6,5;25,9;28,9
"56";"2020";"Superior";"de 30 a 64 años";82,1;93,4;4,1;3,6;7,3;6,9;10,6;10,6
"57";"2020";"Superior";"Total";82;92,3;5,1;4,6;7,7;6,8;12,5;12,9
"58";"2020";"Total";"de 14 a 29 años";35,4;49,5;25,2;19,8;15,1;13,5;46,3;49,9
"59";"2020";"Total";"de 30 a 64 años";63,4;86,4;8,6;7,7;13,6;10,6;26,6;21,8
"60";"2020";"Total";"Total";53,1;71,7;12,7;11;14;11,4;30,7;29,3
"61";"2021";"Primaria";"de 14 a 29 años";20,2;35,6;24,8;14,2;20,8;16,5;78,7;74,5
"62";"2021";"Primaria";"de 30 a 64 años";53,3;89;10,4;7;20,9;12,2;55,7;35,7
"63";"2021";"Primaria";"Total";37,9;63,6;14;8,9;20,9;13,4;59,8;46,4
"64";"2021";"Secundaria";"de 14 a 29 años";50,9;67,6;21,5;17,5;15,2;10,9;55,7;43,5
"65";"2021";"Secundaria";"de 30 a 64 años";69;92,4;8,3;5,2;14,7;8,5;32,6;20,3
"66";"2021";"Secundaria";"Total";61,4;82,5;12,9;9,2;14,9;9,3;40;28
"67";"2021";"SinInst";"de 14 a 29 años";19,2;36,6;37;21,4;15,4;19,7;74,5;78,4
"68";"2021";"SinInst";"de 30 a 64 años";40,6;78,4;8,8;6,8;22,8;14,8;68,2;43,7
"69";"2021";"SinInst";"Total";36,2;65,8;11,9;9,2;22;15,6;69;48,8
"70";"2021";"Superior";"de 14 a 29 años";89,2;94,9;7,9;9,4;14,6;11,4;27,3;21,5
"71";"2021";"Superior";"de 30 a 64 años";84,4;94,3;2,9;2,9;9,2;6,5;10,6;9,9
"72";"2021";"Superior";"Total";84,9;94,3;3,4;3,6;9,8;7,1;12,5;11,2
"73";"2021";"Total";"de 14 a 29 años";39,9;51,8;20,3;15,8;16,3;13,1;53,9;52,1
"74";"2021";"Total";"de 30 a 64 años";68,2;91;6,7;5,4;14,1;9,6;28,9;23,1
"75";"2021";"Total";"Total";58,1;76,1;10,1;8,1;14,7;10,5;34,2;30,7
"76";"2022";"Primaria";"de 14 a 29 años";20,3;37;19,3;12,1;17,8;13;81;72,8
"77";"2022";"Primaria";"de 30 a 64 años";58,7;88,7;7,6;4,7;18,4;10,3;61,9;40
"78";"2022";"Primaria";"Total";41,3;64,9;10,2;6,6;18,2;11;66,1;49,4
"79";"2022";"Secundaria";"de 14 a 29 años";53,4;67,1;15,7;13,8;15;10,5;55,9;51,6
"80";"2022";"Secundaria";"de 30 a 64 años";69,6;93,4;6,6;4,1;14,2;6,9;34,7;22,6
"81";"2022";"Secundaria";"Total";62,8;82,8;9,8;7,3;14,5;8,1;42,1;32,4
"82";"2022";"SinInst";"de 14 a 29 años";17,7;36,3;15,2;9,4;15;11,5;76,8;80,9
"83";"2022";"SinInst";"de 30 a 64 años";44,5;78;5,5;5,7;20,2;12,4;70,7;59,1
"84";"2022";"SinInst";"Total";39;66,3;6,4;6,3;19,7;12,3;71;62,9
"85";"2022";"Superior";"de 14 a 29 años";89;91,9;7,2;8,9;11,5;6,8;28,7;20,7
"86";"2022";"Superior";"de 30 a 64 años";84,8;95,3;2,6;2;8,2;4,6;12,9;10,7
"87";"2022";"Superior";"Total";85,3;95;3,2;2,7;8,6;4,9;14,7;11,8
"88";"2022";"Total";"de 14 a 29 años";41,6;52,7;15,2;12,8;15,1;11,1;56,2;56,8
"89";"2022";"Total";"de 30 a 64 años";70,1;91,4;5,4;3,9;13,2;7,8;32,7;26,4
"90";"2022";"Total";"Total";59,9;76,8;7,8;6,2;13,7;8,6;38,4;34,7
"91";"2023";"Primaria";"de 14 a 29 años";20,7;37,4;17,9;12,4;19,4;12,5;82,1;73,3
"92";"2023";"Primaria";"de 30 a 64 años";58,3;89,4;6,2;4,7;19,2;10,6;61,6;40,5
"93";"2023";"Primaria";"Total";41,2;66,1;8,8;6,6;19,3;11;66;49,7
"94";"2023";"Secundaria";"de 14 a 29 años";56;67,4;14,3;13;13,2;8,7;51,4;48
"95";"2023";"Secundaria";"de 30 a 64 años";70,6;93,5;5,8;3,3;13,7;6,6;35,3;23,2
"96";"2023";"Secundaria";"Total";64,6;83;8,8;6,5;13,5;7,3;40,9;31,6
"97";"2023";"SinInst";"de 14 a 29 años";11,8;30,7;21,4;11,3;13,3;8,7;72,1;83,6
"98";"2023";"SinInst";"de 30 a 64 años";45,6;75,2;2,9;6,2;18;12,1;66,7;63
"99";"2023";"SinInst";"Total";38,2;62,4;4,1;7;17,7;11,7;67,1;66,3
"100";"2023";"Superior";"de 14 a 29 años";88,5;94,6;7,7;5,2;8,4;9,8;23,2;23,4
"101";"2023";"Superior";"de 30 a 64 años";86,1;95,2;2,2;1,8;7,6;3,6;12,3;12,8
"102";"2023";"Superior";"Total";86,3;95,1;2,8;2,2;7,7;4,4;13,6;14,2
"103";"2023";"Total";"de 14 a 29 años";43,2;53,8;14,1;12,1;13,7;10;52,3;54,2
"104";"2023";"Total";"de 30 a 64 años";70,9;91,7;4,5;3,5;12,9;7,5;32,6;27,1
"105";"2023";"Total";"Total";61,1;77,6;6,9;5,8;13,1;8,1;37,4;34,6
"106";"2024";"Primaria";"de 14 a 29 años";19,5;36,2;19;14,2;19,5;11,9;77,4;66,1
"107";"2024";"Primaria";"de 30 a 64 años";59,6;89,3;8,5;6,9;19,7;11,9;60,4;41,8
"108";"2024";"Primaria";"Total";41,1;65,3;10,8;8,7;19,7;11,9;63,8;48,5
"109";"2024";"Secundaria";"de 14 a 29 años";54,1;65,4;18,3;15,2;12,4;8;55,6;45,8
"110";"2024";"Secundaria";"de 30 a 64 años";72,5;93,1;7,2;4,2;14,7;7,5;34,6;24
"111";"2024";"Secundaria";"Total";65;82;11;7,7;13,9;7,6;41,6;31,1
"112";"2024";"SinInst";"de 14 a 29 años";21,5;31;8,7;11,8;19,5;9,6;74,8;85,5
"113";"2024";"SinInst";"de 30 a 64 años";43,4;72,8;5,4;8,6;20,6;19,5;67,7;62,8
"114";"2024";"SinInst";"Total";38,8;61,9;5,7;9;20,5;18,2;68,7;66,2
"115";"2024";"Superior";"de 14 a 29 años";90,9;90,4;8,2;4,9;11,9;8,1;24,6;26,1
"116";"2024";"Superior";"de 30 a 64 años";85,7;94,4;2,7;1,9;7,8;5,6;13,2;11,9
"117";"2024";"Superior";"Total";86,3;93,9;3,3;2,2;8,3;5,9;14,4;13,6
"118";"2024";"Total";"de 14 a 29 años";41,8;52,3;16,9;14;13,7;9,3;54,6;51,1
"119";"2024";"Total";"de 30 a 64 años";72,1;91,2;5,9;4,7;13,5;8,9;32,4;27,9
"120";"2024";"Total";"Total";61,4;76,7;8,5;7,1;13,5;9;37,5;34,1
